subj,trial,id,f1_l,f2_l,f3_l,f1_r,f2_r,f3_r,resp,rt,n,nd,nc,critical,train
s102,84,41,0,0,1,1,0,0,0.002999992,3.4849,2,2,0,FALSE,FALSE
s102,85,38,1,0,1,0,1,0,0.005,5.1567,3,3,0,FALSE,FALSE
s102,86,37,1,0,1,1,1,0,0.307000046,7.9989,3,2,1,FALSE,TRUE
s102,87,61,0,1,1,1,0,0,0.004000015,3.2821,3,3,0,FALSE,FALSE
s102,88,78,1,1,0,0,1,0,0.35,7.0491,2,1,1,TRUE,TRUE
s102,89,74,1,1,0,0,0,1,0.002999992,4.0492,3,3,0,FALSE,FALSE
s102,90,65,0,1,1,1,1,1,0.63,4.7723,3,1,2,TRUE,TRUE
s102,91,12,1,0,0,0,0,0,0.001000023,3.5512,1,1,0,TRUE,FALSE
s102,92,54,1,1,1,0,0,1,0.162999992,4.8851,3,2,1,FALSE,TRUE
s102,93,43,0,0,1,1,0,1,0.192000046,5.2754,2,1,1,TRUE,TRUE
s102,94,23,0,0,0,1,0,1,0.005,3.172,2,2,0,FALSE,FALSE
s102,95,64,0,1,1,0,0,1,0.597000046,5.7408,3,1,2,FALSE,TRUE
s102,96,57,1,1,1,1,1,0,0.615,4.9751,3,1,2,FALSE,TRUE
s102,97,14,1,0,0,0,0,1,0.001000023,3.8801,2,2,0,FALSE,FALSE
s102,98,34,1,0,1,0,0,1,0.505,5.0625,2,1,1,TRUE,TRUE
s102,99,68,0,1,1,0,1,0,0.684000015,3.6066,3,1,2,FALSE,TRUE
s102,100,11,1,0,0,1,0,0,0.993000031,3.7679,1,0,1,FALSE,FALSE
s102,101,35,1,0,1,1,1,1,0.635,6.1509,3,1,2,FALSE,TRUE
s102,102,58,1,1,1,0,1,0,0.082000008,5.3572,3,2,1,FALSE,TRUE
s102,103,88,0,1,0,0,1,0,0.994000092,3.2334,2,0,2,FALSE,FALSE
s102,104,13,1,0,0,1,0,1,0.685,2.9889,2,1,1,FALSE,TRUE
s102,105,46,0,0,1,0,1,1,0.737000046,5.1077,3,1,2,FALSE,TRUE
s102,106,85,0,1,0,1,1,1,0.114000015,6.2537,3,2,1,FALSE,TRUE
s102,107,67,0,1,1,1,1,0,0.055,6.742,3,2,1,FALSE,TRUE
s102,108,28,0,0,0,0,1,0,0.597000046,5.2934,2,1,1,FALSE,TRUE
s102,109,27,0,0,0,1,1,0,0.002000008,3.52,2,2,0,FALSE,FALSE
s102,110,44,0,0,1,0,0,1,0.994000092,3.8587,2,0,2,FALSE,FALSE
s102,111,25,0,0,0,1,1,1,0.002999992,3.8517,3,3,0,FALSE,FALSE
s102,112,32,1,0,1,0,0,0,0.005,2.8404,2,2,0,FALSE,FALSE
s102,113,53,1,1,1,1,0,1,0.564000015,5.1429,3,1,2,FALSE,TRUE
s102,114,33,1,0,1,1,0,1,0.994000092,3.6055,2,0,2,FALSE,FALSE
s102,115,18,1,0,0,0,1,0,0.004000015,3.7208,2,2,0,FALSE,FALSE
s102,116,76,1,1,0,0,1,1,0.097000008,4.2744,3,2,1,FALSE,TRUE
s102,117,77,1,1,0,1,1,0,0.994000092,4.282,2,0,2,FALSE,FALSE
s102,118,16,1,0,0,0,1,1,0.001000023,3.1352,3,3,0,FALSE,FALSE
s102,119,63,0,1,1,1,0,1,0.116000023,4.7568,3,2,1,FALSE,TRUE
s102,120,71,1,1,0,1,0,0,0.575,4.7887,2,1,1,FALSE,TRUE
s102,121,73,1,1,0,1,0,1,0.479000015,4.3512,3,2,1,FALSE,TRUE
s102,122,51,1,1,1,1,0,0,0.224000015,4.4046,3,2,1,FALSE,TRUE
s102,123,87,0,1,0,1,1,0,0.354000015,4.5179,2,1,1,TRUE,TRUE
s102,124,22,0,0,0,0,0,0,0.989000092,3.6095,1,0,1,FALSE,FALSE
s102,125,48,0,0,1,0,1,0,0.455999985,3.968,3,2,1,FALSE,TRUE
s102,126,31,1,0,1,1,0,0,0.564000015,3.0544,2,1,1,FALSE,TRUE
s102,127,52,1,1,1,0,0,0,0.009000015,2.9747,3,3,0,FALSE,FALSE
s102,128,55,1,1,1,1,1,1,0.996999969,4.3731,3,0,3,FALSE,FALSE
s103,1,85,0,1,0,1,1,1,0.415155411,7.4455,3,2,1,FALSE,TRUE
s103,2,26,0,0,0,0,1,1,0.636223379,3.2309,3,2,1,FALSE,TRUE
s103,3,72,1,1,0,0,0,0,0.025787032,4.047,2,2,0,FALSE,FALSE
s103,4,36,1,0,1,0,1,1,0.134099236,5.3306,3,2,1,FALSE,TRUE
s103,5,33,1,0,1,1,0,1,0.999485788,5.8962,2,0,2,FALSE,FALSE
s103,6,44,0,0,1,0,0,1,0.99837486,3.223,2,0,2,FALSE,FALSE
s103,7,35,1,0,1,1,1,1,0.878398293,4.3953,3,1,2,FALSE,TRUE
s103,8,81,0,1,0,1,0,0,0.007457291,4.4092,2,2,0,FALSE,FALSE
s103,9,47,0,0,1,1,1,0,0.007457291,2.1105,3,3,0,FALSE,FALSE
s103,10,58,1,1,1,0,1,0,0.204085567,5.608,3,2,1,FALSE,TRUE
s103,11,78,1,1,0,0,1,0,0.269628262,4.191,2,1,1,TRUE,TRUE
s103,12,16,1,0,0,0,1,1,0.014122631,3.4887,3,3,0,FALSE,FALSE
s103,13,25,0,0,0,1,1,1,0.002458268,3.4819,3,3,0,FALSE,FALSE
s103,14,42,0,0,1,0,0,0,0.752867238,2.4752,2,1,1,FALSE,TRUE
s103,15,57,1,1,1,1,1,0,0.876731901,3.2964,3,1,2,FALSE,TRUE
s103,16,24,0,0,0,0,0,1,0.892839899,2.897,2,1,1,FALSE,TRUE
s103,17,15,1,0,0,1,1,1,0.566237048,3.3987,3,2,1,FALSE,TRUE
s103,18,38,1,0,1,0,1,0,0.016899875,3.8835,3,3,0,FALSE,FALSE
s103,19,34,1,0,1,0,0,1,0.658441253,12.7415,2,1,1,TRUE,TRUE
s103,20,11,1,0,0,1,0,0,0.99837486,8.4894,1,0,1,FALSE,FALSE
s103,21,27,0,0,0,1,1,0,0.003569158,2.8472,2,2,0,FALSE,FALSE
s103,22,17,1,0,0,1,1,0,0.536242906,3.6358,2,1,1,FALSE,TRUE
s103,23,65,0,1,1,1,1,1,0.738425631,5.0201,3,1,2,TRUE,TRUE
s103,24,12,1,0,0,0,0,0,0.001902804,4.5244,1,1,0,TRUE,FALSE
s103,25,75,1,1,0,1,1,1,0.849515079,3.1933,3,1,2,FALSE,TRUE
s103,26,54,1,1,1,0,0,1,0.212417222,3.9363,3,2,1,FALSE,TRUE
s103,27,13,1,0,0,1,0,1,0.728983048,3.0424,2,1,1,FALSE,TRUE
s103,28,53,1,1,1,1,0,1,0.83340708,3.4412,3,1,2,FALSE,TRUE
s103,29,66,0,1,1,0,1,1,0.997819396,6.0941,3,0,3,FALSE,FALSE
s103,30,48,0,0,1,0,1,0,0.340170057,6.0693,3,2,1,FALSE,TRUE
